#x_outof_circle[deg],y_outof_circle[deg]
9.455574e-01,-1.610056e+00
-1.543549e+00,7.926732e-01
1.065725e+00,-1.485612e+00
9.757758e-01,-1.403740e+00
1.635181e+00,-9.514811e-01
1.592633e+00,-1.019286e+00
-1.967044e+00,-8.850411e-02
1.339361e+00,-7.289933e-01
1.320538e+00,-9.813638e-01
-1.942258e+00,-2.137557e-02
1.153617e+00,-8.815802e-01
-2.572426e-01,-1.296139e+00
-3.223882e-01,-1.359850e+00
1.312031e+00,-1.006085e+00
1.585851e+00,-9.669211e-01
1.519380e+00,-9.426102e-01
1.482579e+00,-1.174553e+00
-1.538439e+00,8.047307e-01
-1.537018e+00,8.073432e-01
-1.528509e+00,6.227156e-01
7.583925e-01,-1.470743e+00
9.903106e-01,-1.576718e+00
-1.662130e+00,8.691633e-01
-9.393159e-01,-1.170503e+00
-7.941571e-01,-1.443392e+00
-6.256353e-01,-1.460577e+00
-1.953920e+00,-3.934706e-01
4.242907e-01,-1.007016e+00
1.515086e+00,-7.148906e-01
1.550947e+00,-1.009745e+00
-1.547696e+00,8.790700e-01
1.855855e-01,-1.118996e+00
1.588171e-01,-1.123848e+00
3.669873e-01,-1.426614e+00
3.829945e-01,-1.419869e+00
8.454442e-01,-1.486700e+00
1.009703e+00,-1.600657e+00
8.296997e-01,-1.442960e+00
1.071017e+00,1.470476e+00
-1.698325e+00,8.127117e-01
9.661788e-01,-9.092292e-01
1.012076e+00,-1.014500e+00
1.716022e-01,-1.777265e+00
1.734115e-01,-1.139454e+00
3.880165e-01,-1.093316e+00
3.347561e-01,-1.249918e+00
2.559310e-01,-1.975258e+00
1.726559e-01,-1.766062e+00
2.705028e-01,-1.937962e+00
-1.758943e+00,8.434074e-01
-1.551441e+00,6.758515e-01
-1.545262e+00,7.134665e-01
1.584338e+00,-8.229078e-01
1.591817e+00,-1.010780e+00
1.554071e+00,-9.874279e-01
1.616863e+00,-1.145439e+00
3.531175e-01,-1.929558e+00
8.889510e-01,1.774721e+00
1.096063e+00,-8.747496e-01
7.355544e-01,1.747570e+00
9.263778e-01,-8.825033e-01
1.084944e+00,-8.461355e-01
3.653582e-01,-1.774797e+00
2.748180e-01,-1.099504e+00
5.347469e-01,-1.202116e+00
3.696444e-01,-1.752733e+00
2.660201e-01,-1.843088e+00
3.741898e-01,-1.854820e+00
4.352060e-01,-1.826850e+00
-1.835458e+00,7.267473e-01
-1.690783e+00,4.851931e-01
1.004788e-01,-1.719701e+00
3.571002e-01,-1.723137e+00
-1.415469e+00,-8.253036e-01
8.387225e-01,1.808678e+00
1.403064e+00,-1.038186e+00
1.511913e+00,-1.144800e+00
9.624029e-01,-9.196817e-01
1.434736e+00,-9.889126e-01
1.413058e+00,-1.040895e+00
1.718308e-01,-1.814462e+00
1.266976e+00,-8.262194e-01
1.415552e+00,-1.094628e+00
1.492978e+00,-1.018384e+00
1.533806e+00,-1.062072e+00
1.400788e+00,-1.186214e+00
1.280820e+00,-7.718539e-01
1.486878e+00,-7.328618e-01
1.416723e+00,-9.217451e-01
1.450439e+00,-1.183805e+00
-1.701745e+00,7.334556e-01
4.853591e-01,-1.901587e+00
3.577681e-01,-1.869036e+00
9.539444e-01,1.611213e+00
7.930509e-01,1.564619e+00
-1.704889e+00,7.787402e-01
3.351753e-01,-1.816267e+00
7.490366e-01,1.634863e+00
1.206804e-01,-1.051925e+00
2.446243e-01,-1.128673e+00
2.006957e-01,-1.152656e+00
4.246254e-01,-1.249235e+00
4.271800e-01,-1.314652e+00
5.216153e-01,-1.826343e+00
1.562799e-01,-1.011383e+00
2.504499e-01,-1.269709e+00
9.200252e-01,1.661706e+00
2.220885e-01,-1.958886e+00
6.613093e-01,1.764820e+00
-1.198232e+00,-9.425842e-01
8.290766e-01,1.644926e+00
1.080585e+00,-8.337457e-01
1.050523e+00,-9.763714e-01
2.101416e-01,-1.808501e+00
2.540030e-01,-1.901460e+00
9.522984e-01,-9.283989e-01
6.591888e-01,1.838976e+00
9.466478e-01,1.589791e+00
2.128271e-01,-1.793558e+00
1.746266e-01,-1.881473e+00
8.768950e-01,1.707251e+00
8.619269e-01,1.566648e+00
-1.880524e+00,-1.231291e-01
-1.909472e+00,-2.011806e-01
4.199355e-01,-1.704154e+00
7.347798e-01,1.620328e+00
6.573796e-01,1.796127e+00
9.741762e-01,1.577124e+00
6.024243e-01,1.882916e+00
8.991982e-01,1.690963e+00
2.033987e-01,-1.873306e+00
-1.114386e+00,1.514396e+00
1.492823e+00,-1.233725e+00
5.110609e-01,-1.867934e+00
9.987370e-01,1.564344e+00
1.101131e+00,1.577111e+00
8.161491e-01,1.544333e+00
-1.330380e+00,1.420734e+00
-1.861484e+00,-4.933499e-01
-1.754238e+00,-4.626819e-01
-1.630993e+00,-7.683028e-01
-1.568223e+00,-7.615413e-01
-1.334021e+00,-7.384656e-01
-1.540825e+00,-8.361100e-01
-1.305027e+00,1.386011e+00
-1.161243e+00,1.388968e+00
-1.218399e+00,1.415005e+00
-1.885583e+00,-4.792706e-01
-1.704335e+00,-5.540938e-01
-1.468147e+00,-7.844429e-01
-1.415413e+00,-8.462068e-01
-1.446482e+00,-9.131248e-01
-1.249895e+00,1.375979e+00
-1.483154e+00,-6.213853e-01
-1.341538e+00,-1.065075e+00
-1.210636e+00,-1.087808e+00
-1.188728e+00,1.342736e+00
-7.199105e-01,1.307469e+00
-4.965902e-01,1.220276e+00
-1.242328e+00,1.434874e+00
-5.109762e-01,1.241129e+00
-1.239726e+00,1.477088e+00
-5.521490e-01,1.259947e+00
-1.288499e+00,1.415164e+00
-6.881550e-01,1.434747e+00
-8.432486e-01,1.278177e+00
-1.180379e+00,1.559637e+00
-1.913646e+00,-3.920951e-01
7.567630e-01,1.827014e+00
-1.325089e+00,1.356300e+00
-1.391518e+00,1.383722e+00
1.120958e+00,1.499463e+00
1.115728e+00,1.435345e+00
1.217774e+00,1.429460e+00
-1.356819e+00,1.399889e+00
-1.380981e+00,1.393681e+00
8.492442e-01,-1.471128e+00
8.363021e-01,1.544774e+00
-1.614686e+00,1.046189e+00
-1.299543e+00,1.133224e+00
-1.626245e+00,1.143604e+00
-9.390851e-01,1.279907e+00
-5.684731e-01,1.255004e+00
-6.199879e-01,1.033027e+00
9.398335e-01,-1.664976e+00
9.190809e-01,-1.507865e+00
1.169434e+00,-1.582145e+00
9.724029e-01,-1.639357e+00
7.177096e-01,1.268153e+00
-9.681778e-01,-1.300818e+00
-1.196274e+00,1.307619e+00
-9.221367e-01,-1.373779e+00
-1.475916e+00,-8.441054e-01
-1.234786e+00,-9.533386e-01
-1.649443e+00,8.043376e-01
-1.610146e+00,7.248692e-01
9.993060e-02,-1.119276e+00
-1.534026e+00,8.300459e-01
-1.664008e+00,5.102404e-01
-4.908561e-01,1.028119e+00
-9.217660e-01,-1.243094e+00
-1.325801e+00,1.423954e+00
-7.504053e-01,1.281877e+00
