#x_cut[deg],y_cut[deg]
-1.182583e-01,-8.435834e-03
7.560447e-02,-7.088006e-02
9.412637e-01,-3.852619e-01
-9.152617e-02,2.934339e-02
-8.165614e-04,1.382237e-01
-1.576546e-01,9.338300e-02
-6.182509e-02,5.680178e-02
-7.258763e-02,3.656477e-02
-4.337189e-02,3.599286e-02
1.134458e-01,4.213499e-02
1.052110e-01,3.448102e-02
2.697457e-02,1.613717e-01
-1.606798e-02,1.267389e-01
-5.332163e-02,3.091384e-02
2.294302e-01,-2.179714e-02
7.737047e-02,-7.137147e-02
2.133811e-01,1.786737e-02
8.631727e-02,-1.024175e-01
2.841920e-01,-9.356807e-02
1.517659e-01,9.960740e-03
7.312076e-01,-1.657097e-02
1.147813e+00,-7.773467e-01
-4.362865e-02,5.122142e-02
-3.880864e-02,1.426950e-01
-1.284136e-01,4.658129e-02
1.843537e-01,9.210004e-02
-8.145606e-02,4.252188e-02
1.622653e-01,7.741780e-02
-1.542974e-01,1.405440e-01
2.102602e-01,3.386882e-02
-5.798700e-03,-1.871454e-02
8.892606e-03,-3.490551e-02
-4.994696e-02,-3.880314e-02
9.850695e-03,9.440836e-02
-1.070468e-02,4.356877e-02
1.314109e-02,2.773135e-02
1.330283e-01,1.769901e-01
-1.296058e-02,9.481481e-03
2.076099e-02,-3.756671e-02
-9.452892e-03,-1.447364e-03
-8.238598e-02,-5.113844e-02
8.544191e-03,-5.178295e-02
2.292009e-01,-5.633790e-02
-5.370536e-02,-2.373386e-02
-2.472114e-02,1.319529e-01
-2.646628e-02,5.095757e-02
1.493743e-01,7.556627e-02
-1.285714e-01,4.683099e-04
6.980286e-02,1.510925e-01
-5.296176e-02,3.522688e-02
-6.064647e-02,2.584266e-02
5.045538e-02,5.666797e-03
1.317897e-01,-3.258612e-02
7.367551e-02,-4.254697e-02
2.037939e-02,-7.697134e-02
1.756137e-01,-6.219551e-02
1.455122e-01,-8.718446e-02
-4.874753e-02,-2.464882e-02
4.528407e-02,-2.197083e-02
2.584828e-01,-5.466038e-03
7.482022e-01,-5.352951e-02
1.536842e-01,1.530196e-01
-1.090680e-01,2.524103e-02
1.045158e-01,1.752414e-01
1.242531e-01,9.160118e-02
1.669294e-01,8.132352e-02
-2.607550e-02,2.067552e-02
3.464916e-02,1.751736e-02
-1.052324e-01,7.912642e-02
1.216564e-01,7.740190e-02
1.262361e-01,6.586250e-02
-1.854287e-02,3.010167e-02
-2.982809e-02,-9.261210e-03
-8.618489e-02,-2.619389e-02
-6.242579e-02,-3.254677e-02
-2.026229e-02,-3.264056e-02
1.955583e-01,-1.973256e-02
1.305546e-01,-5.812321e-02
1.067583e+00,-5.888841e-01
1.111544e+00,-7.114637e-01
1.738345e-01,6.461053e-02
1.738490e-01,5.486937e-02
4.079339e-02,1.576551e-01
-1.151957e-01,1.009094e-01
-1.140785e-01,4.072499e-02
7.188312e-03,1.524415e-02
-1.307191e-01,6.214311e-02
2.182981e-02,2.719346e-02
9.861890e-02,1.509575e-01
9.419086e-02,9.210343e-02
-7.885664e-02,1.783667e-03
-4.763984e-02,7.184821e-03
1.179849e-01,1.914858e-02
-9.076341e-02,-2.772314e-02
1.947391e-02,-2.868092e-02
1.164418e-01,-2.200072e-02
1.232479e-01,-2.734433e-02
9.549581e-01,-4.031084e-01
7.469084e-02,1.006301e-01
-4.064045e-02,1.070082e-01
-1.936963e-02,9.436917e-02
-9.052164e-02,6.989728e-03
-2.116864e-03,5.204731e-02
1.857421e-01,7.548789e-02
2.033995e-02,1.565044e-03
4.986382e-02,1.151629e-02
8.058129e-03,-1.934998e-02
1.422172e-02,-2.353928e-02
-4.777303e-02,-3.289035e-02
2.075934e-02,-2.854680e-02
7.599447e-02,-4.212727e-02
1.719397e-01,-2.805930e-02
2.576323e-01,-3.589749e-02
9.827162e-02,-9.708666e-02
1.328757e-01,-4.092566e-02
6.305774e-01,2.362557e-01
7.239255e-01,7.172603e-02
1.133952e+00,-7.429696e-01
-1.046837e-01,8.363432e-02
1.714086e-01,1.227873e-01
1.962741e-01,8.624265e-02
1.211014e-01,5.849940e-02
1.608963e-01,3.910073e-02
-5.211132e-02,1.441768e-01
1.445048e-01,1.355170e-01
-2.039647e-02,8.168317e-02
1.742821e-01,4.653690e-02
-1.289476e-01,8.661839e-02
-2.825985e-02,4.094689e-02
-1.895834e-02,-6.207797e-03
1.013243e-01,1.222675e-02
-6.289712e-02,-4.224526e-02
1.739109e-01,-4.054225e-03
1.035198e-01,-4.509507e-02
-9.251235e-02,9.213391e-02
1.451954e-01,4.535155e-02
-8.910849e-02,6.508237e-02
-9.532588e-02,1.214111e-01
-1.814441e-01,1.032315e-01
1.097637e-01,5.892275e-02
-1.085200e-01,-2.484738e-02
-2.599445e-04,-2.946530e-02
-7.723350e-02,-4.259390e-02
9.423131e-02,-2.836866e-02
8.971623e-02,-7.650687e-02
2.073925e-01,-8.211388e-02
1.345291e-01,8.675757e-03
6.524962e-02,1.012306e-01
-1.071055e-01,2.812269e-02
-7.493427e-02,3.878960e-02
-7.386531e-02,3.701221e-02
-1.258842e-01,-2.671781e-03
6.707776e-02,1.516755e-01
1.638943e-01,7.454993e-02
-7.685281e-02,9.284424e-03
-3.473518e-02,4.856642e-02
-7.667074e-02,3.217267e-02
2.295735e-01,-1.287622e-02
1.658495e-01,2.798532e-02
-2.592551e-02,-6.101540e-03
5.259309e-02,5.504174e-03
1.546150e-02,-1.992593e-02
5.063267e-02,-1.740770e-02
-6.777652e-03,-2.847087e-02
1.235787e-01,-8.420023e-02
2.315680e-01,1.866324e-02
6.782885e-01,1.464313e-01
1.069544e+00,-5.571911e-01
7.989585e-02,5.290682e-02
-2.592329e-02,1.211220e-01
-1.188402e-01,2.728654e-02
8.951351e-02,5.309962e-02
1.910380e-01,6.477734e-02
1.168597e-02,2.513440e-02
-1.351175e-01,3.690899e-02
-3.539033e-03,1.162997e-01
1.765970e-01,7.542858e-02
1.829361e-02,5.067209e-04
-8.222782e-02,-2.903349e-02
1.424239e-02,-2.429321e-02
-7.116001e-02,-4.090146e-02
3.490734e-02,-4.910475e-02
6.931391e-01,1.053226e-01
1.112947e+00,-6.700755e-01
1.284787e-01,9.502971e-02
1.118485e-01,4.151503e-02
-1.353544e-01,1.309592e-01
-1.426371e-01,1.089606e-01
-1.347353e-02,7.977746e-02
6.867378e-02,-2.107475e-02
1.083100e-01,9.990849e-03
2.156585e-01,2.796633e-02
-2.636886e-02,-3.090754e-02
6.356463e-03,-4.883538e-02
9.949098e-02,-4.351255e-02
2.266444e-01,-5.060605e-02
1.875355e-01,-7.259824e-02
8.858319e-02,-9.836210e-02
2.810666e-01,-3.875517e-02
1.936957e-01,-6.461606e-02
1.860963e-01,-4.935553e-02
1.320483e-01,1.301705e-02
1.274407e-01,2.293772e-03
-1.490938e-02,-4.773607e-02
1.044195e+00,2.431248e-03
1.006118e+00,-7.963212e-02
1.226375e+00,-1.625701e-01
-1.281075e-02,-3.001189e-03
-6.302308e-02,-1.808662e-02
